Property Name,Consolidated Property Types,Address,City,County,State,ZIP Code,Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),ENERGY STAR Certification Years,Tax Parcel
Fulton Court Condominium Trust,Multifamily Housing,100 Fulton Street,Boston,Suffolk,MA,2109,100800,1990,2014,100,8.5,,,,,,82.5,20.44,,303478000
FOLIOBOSTON CONDOMINIUM TRUST,Multifamily Housing,80 Broad Street,Boston,Suffolk,MA,2110,323789,2006,2014,100,9.4,,,,,,294.6,11.38,,303990010
SYNH LLC,Multifamily Housing,115 St Stephen,Boston,Suffolk,MA,2115,45324,1950,2014,100,10.1,,,,,,43.3,43.91,,342026457
500 Harrison Ave,Office,8 Randolph St,Boston,Suffolk,MA,2118,145000,1889,2014,100,10,,,,,,84.9,7.83,,306536000
Southampton Street,Office,112 Southampton St,Boston,Suffolk,MA,2118,44719,2000,2014,100,11.4,,,,,,49.5,,,
"Huntington Plaza, Boston Symphony Orchestra",Office,265 Huntington Avenue,Boston,Suffolk,MA,2115,20000,1950,2014,,14.6,,,,,,28.2,,,
560 Harrison Ave,Office,100 Union Park St,Boston,Suffolk,MA,2118,196000,1902,2014,100,15.1,,,,,,233,23,,306529000
882-888 Commonwealth Avenue,Office,882-888 Commonwealth Avenue,Boston,Suffolk,MA,2446,99352,1921,2014,100,20.4,,,,,,154.7,32.84,,
HRE - 100 Holton St,Office,100 Holton St,Boston,Suffolk,MA,2135,115577,1975,2014,100,20.7,,,,,,130.4,5.53,,2200966000
Warren Palmer LP,Office,7 Palmer Street,Boston,Suffolk,MA,2119,31973,1920,2014,100,23.2,,,,,,52.4,15.73,,802533010
44 School Street LLC,Office,44 School Street,Boston,Suffolk,MA,2026,58921,1924,2014,100,23.8,,,,,,135.8,,,304704000
46 Waltham St,Office,44 Waltham St,Boston,Suffolk,MA,2118,80000,1897,2014,100,28.1,,,,,,130.7,19.01,,305959000
239 Causeway Street,Office,239 Causeway Street,Boston,Suffolk,MA,2114,63750,1917,2014,,28.2,,,,,,135.7,0.09,,1517000
Barnes School Apartments LLc,Residence Hall/Dormitory,127 Marion Street,Boston,Suffolk,MA,2128,145016,1900,2014,87,45.9,,,,,,454.6,10.73,,105980000
HBS Morris Hall,Residence Hall/Dormitory,14 Harvard Way,Boston,Suffolk,MA,2163,50786,1926,2014,91,50.1,,,,,,196.4,22.93,,2200530000
Riverway House,Residence Hall/Dormitory,160-162 Riverway,Boston,Suffolk,MA,2215,36940,1910,2014,88,51.5,,,,,,137.5,3.03,,402000000
HBS Hamilton Hall,Residence Hall/Dormitory,700 Soldiers Field Road,Boston,Suffolk,MA,2163,49297,1926,2014,86,53.3,,,,,,207.6,22.87,,
HBS Esteves Hall,Residence Hall/Dormitory,45 Harvard Way,Boston,Suffolk,MA,2163,78375,1969,2014,91,53.6,,,,,,315.8,,,2200530000
St. Joseph Hall,Residence Hall/Dormitory,430 The Fenway,Boston,Suffolk,MA,2115,94450,1966,2014,85,54,,,,,,361.1,38.81,,401847000
HBS Gallatin Hall,Residence Hall/Dormitory,24 Harvard Way,Boston,Suffolk,MA,2163,50956,1926,2014,80,58.6,,,,,,238.9,22.92,,2200530000
1019 Commonwealth Avenue,Residence Hall/Dormitory,1019 Commonwealth Avenue,Boston,Suffolk,MA,2215,77750,1977,2014,78,65,,,,,,367.5,35.04,,2100468000
Loretto Hall,Residence Hall/Dormitory,420 The Fenway,Boston,Suffolk,MA,2115,57190,1964,2014,81,68.8,,,,,,259.3,32.77,,401847000
HBS McCulloch Hall,Residence Hall/Dormitory,44 Harvard Way,Boston,Suffolk,MA,2163,51821,1926,2014,70,68.8,,,,,,286.7,23.48,,2200530000

